Steps,Return_1k,Return_10k,Label,Gamma
2800000,1640.9666746522812,18231.771040841475,TRPO_gamma_0.9999,0.9999
2904000,1717.9570070472764,17750.457945760856,TRPO_gamma_0.9999,0.9999
3000000,1848.8543033582052,17486.494142179938,TRPO_gamma_0.9999,0.9999
3104000,1634.4530014420138,17180.57455553595,TRPO_gamma_0.9999,0.9999
3200000,1527.5767198645078,16076.526541482992,TRPO_gamma_0.9999,0.9999
3304000,1724.1275736112825,17815.88142956358,TRPO_gamma_0.9999,0.9999
3400000,1862.9954423064096,18107.76616393163,TRPO_gamma_0.9999,0.9999
3504000,1834.9202488067936,18773.54713614163,TRPO_gamma_0.9999,0.9999
3600000,1819.3434411618528,18827.5341915297,TRPO_gamma_0.9999,0.9999
3704000,2068.305046066447,20881.16866702878,TRPO_gamma_0.9999,0.9999
3800000,1921.4435147123306,19569.493794655988,TRPO_gamma_0.9999,0.9999
3904000,1863.5702280099576,18667.388614166724,TRPO_gamma_0.9999,0.9999
4000000,1839.8094996824886,18334.526369772764,TRPO_gamma_0.9999,0.9999
4104000,1708.1499780740191,17377.674680374228,TRPO_gamma_0.9999,0.9999
4200000,1891.2900102224987,19500.567482494636,TRPO_gamma_0.9999,0.9999
4304000,2040.2081073997892,20700.265781963422,TRPO_gamma_0.9999,0.9999
4400000,1966.1050471365706,20889.6460003246,TRPO_gamma_0.9999,0.9999
4504000,1978.7956525143793,20262.893340056686,TRPO_gamma_0.9999,0.9999
4600000,1965.7041203286658,20186.147228566482,TRPO_gamma_0.9999,0.9999
4704000,2042.83853401205,20234.466334216377,TRPO_gamma_0.9999,0.9999
4800000,1904.3085957136675,20216.553007855488,TRPO_gamma_0.9999,0.9999
4904000,1974.5631516328256,19527.954565915457,TRPO_gamma_0.9999,0.9999
5000000,1893.1244122303804,18967.305543697767,TRPO_gamma_0.9999,0.9999
5104000,1855.0244618846446,19029.67009371063,TRPO_gamma_0.9999,0.9999
5200000,1941.2902212692838,19771.43829303931,TRPO_gamma_0.9999,0.9999
5304000,1976.8393659374426,20072.049918571814,TRPO_gamma_0.9999,0.9999
5400000,1966.9744418224222,19268.371045052598,TRPO_gamma_0.9999,0.9999
5504000,1890.4287567787578,18975.95627013697,TRPO_gamma_0.9999,0.9999
5600000,1898.8988368113442,19428.907452909436,TRPO_gamma_0.9999,0.9999
5704000,1970.539286674183,19954.027210317756,TRPO_gamma_0.9999,0.9999
5800000,1857.66551750778,19333.58944457518,TRPO_gamma_0.9999,0.9999
5904000,1860.0063197427316,18934.948647733505,TRPO_gamma_0.9999,0.9999
6000000,1763.7187169071717,18215.407817335195,TRPO_gamma_0.9999,0.9999
6104000,1906.184235068109,18915.342481162617,TRPO_gamma_0.9999,0.9999
6200000,1858.3799506883927,19546.169836842066,TRPO_gamma_0.9999,0.9999
6304000,1898.0440515825098,19330.501051119318,TRPO_gamma_0.9999,0.9999
6400000,1969.9928857262312,19961.034190351194,TRPO_gamma_0.9999,0.9999
6504000,2031.071399062475,20494.33584466947,TRPO_gamma_0.9999,0.9999
6600000,2049.458772966682,20624.46615924472,TRPO_gamma_0.9999,0.9999
6704000,2089.6317256014213,21071.39187999788,TRPO_gamma_0.9999,0.9999
6800000,2084.8611771225947,21489.509838730504,TRPO_gamma_0.9999,0.9999
6904000,2167.5959037618436,21852.67997785057,TRPO_gamma_0.9999,0.9999
7000000,2155.266970473146,21550.425050986243,TRPO_gamma_0.9999,0.9999
7104000,2112.8446206483727,21432.13226424929,TRPO_gamma_0.9999,0.9999
7200000,2029.0188392838784,20735.06950573153,TRPO_gamma_0.9999,0.9999
7304000,2130.0930526483507,21330.891746074565,TRPO_gamma_0.9999,0.9999
7400000,2100.464700606299,21104.831663650388,TRPO_gamma_0.9999,0.9999
7504000,2143.555210030242,21370.394719812844,TRPO_gamma_0.9999,0.9999
7600000,2175.2465474463233,20172.665945489724,TRPO_gamma_0.9999,0.9999
7704000,2284.318745767666,23103.44178295905,TRPO_gamma_0.9999,0.9999
7800000,2303.5208995783437,23267.167781484764,TRPO_gamma_0.9999,0.9999
7904000,2282.4671214392715,23292.237131951595,TRPO_gamma_0.9999,0.9999
8000000,2252.381702901375,23793.73117639276,TRPO_gamma_0.9999,0.9999
8104000,2381.7957862897806,24443.699786296816,TRPO_gamma_0.9999,0.9999
8200000,2352.7592246939907,23493.454449048233,TRPO_gamma_0.9999,0.9999
8304000,2373.6397051741374,24149.846618281736,TRPO_gamma_0.9999,0.9999
8400000,2383.3436390932284,24557.022380605056,TRPO_gamma_0.9999,0.9999
8504000,2411.4568640535517,25052.14361962732,TRPO_gamma_0.9999,0.9999
8600000,2436.745156123075,24712.132040597302,TRPO_gamma_0.9999,0.9999
8704000,2455.1985264745176,25088.26193501697,TRPO_gamma_0.9999,0.9999
8800000,2539.351243020256,26123.963063244235,TRPO_gamma_0.9999,0.9999
8904000,2498.5541872885033,25477.070945390195,TRPO_gamma_0.9999,0.9999
9000000,2506.0108083933073,25625.45691830016,TRPO_gamma_0.9999,0.9999
9104000,2542.407197486766,25720.11986953496,TRPO_gamma_0.9999,0.9999
9200000,2503.9058198248563,25731.593524490174,TRPO_gamma_0.9999,0.9999
9304000,2475.532708489617,24900.581063840167,TRPO_gamma_0.9999,0.9999
9400000,2557.9636892452413,25854.222232570744,TRPO_gamma_0.9999,0.9999
